season,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,hr_,temp_,hum_,casual,registered,cnt
1,1,12,0,0,0,2,0.36,0.66,2,2,3,20,73,93
1,1,13,0,0,0,2,0.36,0.66,3,2,3,11,64,75
1,1,14,0,0,0,3,0.36,0.76,3,2,3,4,55,59
1,1,15,0,0,0,3,0.34,0.81,3,1,4,19,55,74
1,1,16,0,0,0,3,0.34,0.71,3,1,3,9,67,76
1,1,17,0,0,0,1,0.34,0.57,3,1,2,7,58,65
1,1,18,0,0,0,2,0.36,0.46,3,2,1,10,43,53
1,1,19,0,0,0,1,0.32,0.42,4,1,1,1,29,30
1,1,20,0,0,0,1,0.3,0.39,4,1,1,5,17,22
1,1,21,0,0,0,1,0.26,0.44,4,1,1,11,20,31
1,1,22,0,0,0,1,0.24,0.44,4,1,1,0,9,9
1,1,23,0,0,0,1,0.22,0.47,4,1,1,0,8,8
1,1,0,0,1,1,1,0.22,0.44,1,1,1,0,5,5
1,1,1,0,1,1,1,0.2,0.44,1,1,1,0,2,2
1,1,4,0,1,1,1,0.16,0.47,1,1,1,0,1,1
1,1,5,0,1,1,1,0.16,0.47,1,1,1,0,3,3
1,1,6,0,1,1,1,0.14,0.5,1,1,2,0,30,30
1,1,7,0,1,1,1,0.14,0.5,2,1,2,1,63,64
1,1,8,0,1,1,1,0.14,0.5,2,1,2,1,153,154
1,1,9,0,1,1,1,0.16,0.43,2,1,1,7,81,88
1,1,10,0,1,1,1,0.18,0.43,2,1,1,11,33,44
1,1,11,0,1,1,1,0.2,0.4,2,1,1,10,41,51
1,1,12,0,1,1,1,0.22,0.35,2,1,1,13,48,61
1,1,13,0,1,1,1,0.24,0.35,3,1,1,8,53,61
1,1,14,0,1,1,1,0.26,0.3,3,1,1,11,66,77
1,1,15,0,1,1,1,0.26,0.3,3,1,1,14,58,72
1,1,16,0,1,1,1,0.26,0.3,3,1,1,9,67,76
1,1,17,0,1,1,1,0.24,0.3,3,1,1,11,146,157
1,1,18,0,1,1,1,0.24,0.32,3,1,1,9,148,157
1,1,19,0,1,1,1,0.2,0.47,4,1,1,8,102,110
1,1,20,0,1,1,1,0.2,0.47,4,1,1,3,49,52
1,1,21,0,1,1,1,0.18,0.64,4,1,3,3,49,52
1,1,22,0,1,1,1,0.14,0.69,4,1,3,0,20,20
1,1,23,0,1,1,1,0.18,0.55,4,1,2,1,11,12
1,1,0,0,2,1,1,0.16,0.55,1,1,2,0,5,5
1,1,1,0,2,1,1,0.16,0.59,1,1,2,0,2,2
1,1,2,0,2,1,1,0.14,0.63,1,1,2,0,1,1
1,1,4,0,2,1,1,0.14,0.63,1,1,2,0,2,2
1,1,5,0,2,1,1,0.12,0.68,1,1,3,0,4,4
1,1,6,0,2,1,1,0.12,0.74,1,1,3,0,36,36
1,1,7,0,2,1,1,0.12,0.74,2,1,3,2,92,94
1,1,8,0,2,1,1,0.14,0.69,2,1,3,2,177,179
1,1,9,0,2,1,1,0.16,0.64,2,1,3,2,98,100
1,1,10,0,2,1,2,0.16,0.69,2,1,3,5,37,42
1,1,11,0,2,1,1,0.22,0.51,2,1,2,7,50,57
1,1,12,0,2,1,1,0.22,0.51,2,1,2,12,66,78
1,1,13,0,2,1,1,0.24,0.56,3,1,2,18,79,97
1,1,14,0,2,1,1,0.26,0.52,3,1,2,9,54,63
1,1,15,0,2,1,1,0.28,0.52,3,1,2,17,48,65
1,1,16,0,2,1,1,0.3,0.49,3,1,2,15,68,83
1,1,17,0,2,1,1,0.28,0.48,3,1,1,10,202,212
1,1,18,0,2,1,1,0.26,0.48,3,1,1,3,179,182
1,1,19,0,2,1,1,0.24,0.48,4,1,1,2,110,112
1,1,20,0,2,1,1,0.24,0.48,4,1,1,1,53,54
1,1,21,0,2,1,1,0.22,0.64,4,1,3,0,48,48
1,1,22,0,2,1,1,0.22,0.64,4,1,3,1,34,35
1,1,23,0,2,1,1,0.2,0.69,4,1,3,2,9,11
1,1,0,0,3,1,1,0.2,0.64,1,1,3,0,6,6
1,1,1,0,3,1,1,0.16,0.74,1,1,3,0,6,6
1,1,2,0,3,1,1,0.16,0.74,1,1,3,0,2,2
1,1,4,0,3,1,1,0.24,0.48,1,1,1,0,2,2
1,1,5,0,3,1,1,0.22,0.47,1,1,1,0,3,3
1,1,6,0,3,1,1,0.2,0.47,1,1,1,0,33,33
1,1,7,0,3,1,1,0.18,0.43,2,1,1,1,87,88
1,1,8,0,3,1,1,0.2,0.4,2,1,1,3,192,195
1,1,9,0,3,1,1,0.22,0.37,2,1,1,6,109,115
1,1,10,0,3,1,1,0.22,0.37,2,1,1,4,53,57
1,1,11,0,3,1,1,0.26,0.33,2,1,1,12,34,46
1,1,12,0,3,1,1,0.26,0.33,2,1,1,5,74,79
1,1,13,0,3,1,1,0.28,0.3,3,1,1,6,65,71
1,1,14,0,3,1,1,0.3,0.28,3,1,1,10,52,62
1,1,15,0,3,1,1,0.3,0.28,3,1,1,7,55,62
1,1,16,0,3,1,1,0.3,0.28,3,1,1,4,85,89
1,1,17,0,3,1,1,0.24,0.38,3,1,1,4,186,190
1,1,18,0,3,1,1,0.24,0.38,3,1,1,3,166,169
1,1,19,0,3,1,1,0.24,0.38,4,1,1,5,127,132
1,1,20,0,3,1,1,0.22,0.47,4,1,1,7,82,89
1,1,21,0,3,1,1,0.2,0.51,4,1,2,3,40,43
1,1,22,0,3,1,1,0.18,0.55,4,1,2,1,41,42
1,1,23,0,3,1,1,0.2,0.47,4,1,1,1,18,19
1,1,0,0,4,1,1,0.18,0.55,1,1,2,0,11,11
1,1,1,0,4,1,1,0.16,0.64,1,1,3,0,4,4
1,1,2,0,4,1,1,0.16,0.64,1,1,3,0,2,2
1,1,4,0,4,1,2,0.16,0.64,1,1,3,0,1,1
1,1,5,0,4,1,2,0.14,0.69,1,1,3,0,4,4
1,1,6,0,4,1,2,0.14,0.63,1,1,2,0,36,36
1,1,7,0,4,1,2,0.16,0.59,2,1,2,0,95,95
1,1,8,0,4,1,1,0.16,0.59,2,1,2,3,216,219
1,1,9,0,4,1,2,0.18,0.51,2,1,2,6,116,122
1,1,10,0,4,1,1,0.2,0.47,2,1,1,3,42,45
1,1,11,0,4,1,1,0.22,0.44,2,1,1,2,57,59
1,1,12,0,4,1,1,0.26,0.35,2,1,1,6,78,84
1,1,13,0,4,1,1,0.26,0.35,3,1,1,12,55,67
1,1,14,0,4,1,1,0.28,0.36,3,1,1,11,59,70
1,1,15,0,4,1,1,0.28,0.36,3,1,1,8,54,62
1,1,16,0,4,1,1,0.26,0.38,3,1,1,12,74,86
1,1,17,0,4,1,1,0.22,0.51,3,1,2,9,163,172
1,1,18,0,4,1,1,0.22,0.51,3,1,2,5,158,163
1,1,19,0,4,1,1,0.22,0.55,4,1,2,3,109,112
1,1,20,0,4,1,1,0.2,0.51,4,1,2,3,66,69
1,1,21,0,4,1,2,0.22,0.55,4,1,2,0,48,48
1,1,22,0,4,1,2,0.22,0.51,4,1,2,1,51,52
1,1,23,0,4,1,2,0.2,0.59,4,1,2,4,19,23
1,1,0,0,5,1,2,0.2,0.64,1,1,3,4,13,17
1,1,1,0,5,1,2,0.2,0.69,1,1,3,2,5,7
1,1,2,0,5,1,2,0.2,0.69,1,1,3,0,1,1
1,1,4,0,5,1,2,0.2,0.69,1,1,3,0,1,1
1,1,5,0,5,1,3,0.22,0.55,1,1,2,0,5,5
1,1,6,0,5,1,2,0.2,0.69,1,1,3,8,26,34
1,1,7,0,5,1,1,0.2,0.69,2,1,3,8,76,84
1,1,8,0,5,1,1,0.2,0.51,2,1,2,20,190,210
1,1,9,0,5,1,1,0.2,0.47,2,1,1,9,125,134
1,1,10,0,5,1,1,0.22,0.37,2,1,1,16,47,63
1,1,11,0,5,1,2,0.2,0.4,2,1,1,19,48,67
1,1,12,0,5,1,2,0.2,0.37,2,1,1,9,50,59
1,1,13,0,5,1,2,0.2,0.37,3,1,1,9,64,73
1,1,14,0,5,1,2,0.2,0.4,3,1,1,7,43,50
1,1,15,0,5,1,2,0.2,0.37,3,1,1,9,63,72
1,1,16,0,5,1,2,0.2,0.37,3,1,1,5,82,87
1,1,17,0,5,1,2,0.2,0.37,3,1,1,9,178,187
1,1,18,0,5,1,1,0.2,0.4,3,1,1,7,116,123
1,1,19,0,5,1,1,0.16,0.55,4,1,2,3,92,95
1,1,20,0,5,1,1,0.18,0.47,4,1,1,1,50,51
1,1,21,0,5,1,1,0.18,0.47,4,1,1,0,39,39
1,1,22,0,5,1,2,0.18,0.43,4,1,1,2,34,36
1,1,23,0,5,1,2,0.18,0.51,4,1,2,1,14,15
1,1,0,0,6,0,2,0.18,0.51,1,1,2,1,24,25
1,1,1,0,6,0,2,0.18,0.55,1,1,2,1,15,16
1,1,2,0,6,0,2,0.18,0.55,1,1,2,3,13,16
1,1,3,0,6,0,3,0.18,0.55,1,1,2,0,7,7
1,1,4,0,6,0,3,0.18,0.55,1,1,2,0,1,1
1,1,5,0,6,0,2,0.16,0.74,1,1,3,0,5,5
1,1,6,0,6,0,2,0.16,0.74,1,1,3,0,2,2
1,1,7,0,6,0,2,0.16,0.74,2,1,3,1,8,9
1,1,8,0,6,0,3,0.16,0.93,2,1,4,0,15,15
1,1,9,0,6,0,3,0.16,0.93,2,1,4,0,20,20
1,1,10,0,6,0,2,0.18,0.8,2,1,4,5,56,61
1,1,11,0,6,0,2,0.2,0.69,2,1,3,2,60,62
1,1,12,0,6,0,2,0.2,0.59,2,1,2,8,90,98
1,1,13,0,6,0,1,0.2,0.44,3,1,1,7,95,102
1,1,14,0,6,0,1,0.2,0.32,3,1,1,12,83,95
1,1,15,0,6,0,1,0.2,0.32,3,1,1,5,69,74
1,1,16,0,6,0,1,0.18,0.29,3,1,1,8,68,76
1,1,17,0,6,0,1,0.16,0.37,3,1,1,5,64,69
1,1,18,0,6,0,1,0.14,0.39,3,1,1,3,52,55
1,1,19,0,6,0,1,0.14,0.36,4,1,1,4,26,30
1,1,20,0,6,0,1,0.12,0.36,4,1,1,0,28,28
1,1,21,0,6,0,1,0.12,0.39,4,1,1,2,35,37
1,1,22,0,6,0,1,0.12,0.36,4,1,1,1,33,34
1,1,23,0,6,0,1,0.1,0.39,4,1,1,0,22,22
1,1,0,0,0,0,1,0.1,0.42,1,1,1,1,24,25
1,1,1,0,0,0,1,0.1,0.42,1,1,1,0,12,12
1,1,2,0,0,0,1,0.1,0.46,1,1,1,0,11,11
1,1,3,0,0,0,1,0.1,0.46,1,1,1,0,4,4
1,1,4,0,0,0,1,0.08,0.53,1,1,2,0,1,1
1,1,5,0,0,0,1,0.08,0.53,1,1,2,0,1,1
1,1,6,0,0,0,1,0.1,0.49,1,1,2,0,1,1
1,1,7,0,0,0,1,0.08,0.53,2,1,2,1,5,6
1,1,8,0,0,0,1,0.1,0.49,2,1,2,0,10,10
1,1,9,0,0,0,1,0.12,0.46,2,1,1,0,19,19
1,1,10,0,0,0,1,0.14,0.43,2,1,1,0,49,49
1,1,11,0,0,0,1,0.16,0.4,2,1,1,2,47,49
1,1,12,0,0,0,1,0.18,0.37,2,1,1,4,79,83
1,1,13,0,0,0,1,0.2,0.34,3,1,1,6,69,75
1,1,14,0,0,0,1,0.22,0.32,3,1,1,8,64,72
1,1,15,0,0,0,1,0.22,0.35,3,1,1,5,77,82
1,1,16,0,0,0,1,0.2,0.34,3,1,1,13,79,92
1,1,17,0,0,0,1,0.18,0.37,3,1,1,3,59,62
1,1,18,0,0,0,1,0.16,0.4,3,1,1,4,44,48
1,1,19,0,0,0,1,0.16,0.43,4,1,1,1,40,41
1,1,20,0,0,0,1,0.14,0.46,4,1,1,0,38,38
1,1,21,0,0,0,1,0.14,0.46,4,1,1,1,19,20
1,1,22,0,0,0,1,0.14,0.46,4,1,1,5,10,15
1,1,23,0,0,0,1,0.12,0.5,4,1,2,0,6,6
1,1,0,0,1,1,1,0.12,0.5,1,1,2,2,3,5
1,1,1,0,1,1,1,0.12,0.5,1,1,2,1,0,1
1,1,2,0,1,1,1,0.12,0.5,1,1,2,0,3,3
1,1,3,0,1,1,1,0.12,0.5,1,1,2,0,1,1
1,1,4,0,1,1,1,0.1,0.54,1,1,2,1,2,3
1,1,5,0,1,1,1,0.1,0.54,1,1,2,0,3,3
1,1,6,0,1,1,1,0.12,0.5,1,1,2,0,31,31
1,1,7,0,1,1,1,0.12,0.5,2,1,2,2,75,77
1,1,8,0,1,1,2,0.12,0.5,2,1,2,4,184,188
1,1,9,0,1,1,2,0.14,0.5,2,1,2,2,92,94
1,1,10,0,1,1,2,0.14,0.5,2,1,2,0,31,31
1,1,11,0,1,1,2,0.16,0.47,2,1,1,2,28,30
1,1,12,0,1,1,2,0.2,0.4,2,1,1,5,47,52
1,1,13,0,1,1,2,0.2,0.4,3,1,1,4,50,54
1,1,14,0,1,1,2,0.2,0.4,3,1,1,0,47,47
1,1,15,0,1,1,2,0.2,0.4,3,1,1,2,43,45
1,1,16,0,1,1,1,0.2,0.4,3,1,1,4,70,74
1,1,17,0,1,1,1,0.2,0.4,3,1,1,4,174,178
1,1,18,0,1,1,1,0.2,0.4,3,1,1,1,154,155
1,1,19,0,1,1,1,0.16,0.47,4,1,1,3,92,95
1,1,20,0,1,1,1,0.16,0.5,4,1,2,1,73,74
1,1,21,0,1,1,1,0.14,0.59,4,1,2,1,37,38
1,1,22,0,1,1,1,0.14,0.59,4,1,2,2,22,24
1,1,23,0,1,1,1,0.14,0.59,4,1,2,0,18,18
1,1,0,0,2,1,1,0.14,0.59,1,1,2,2,10,12
1,1,1,0,2,1,1,0.14,0.59,1,1,2,0,3,3
1,1,2,0,2,1,2,0.16,0.55,1,1,2,0,3,3
1,1,5,0,2,1,2,0.16,0.55,1,1,2,0,6,6
1,1,6,0,2,1,2,0.16,0.55,1,1,2,0,27,27
1,1,7,0,2,1,2,0.16,0.55,2,1,2,2,97,99
1,1,8,0,2,1,2,0.18,0.51,2,1,2,3,214,217
1,1,9,0,2,1,2,0.18,0.51,2,1,2,3,127,130
1,1,10,0,2,1,2,0.2,0.51,2,1,2,3,51,54
1,1,11,0,2,1,2,0.2,0.47,2,1,1,4,31,35
1,1,12,0,2,1,2,0.2,0.51,2,1,2,2,55,57
1,1,13,0,2,1,2,0.2,0.59,3,1,2,6,46,52
1,1,14,0,2,1,2,0.2,0.59,3,1,2,3,60,63
1,1,15,0,2,1,2,0.16,0.8,3,1,4,2,45,47
1,1,16,0,2,1,2,0.16,0.86,3,1,4,4,72,76
1,1,17,0,2,1,2,0.16,0.86,3,1,4,6,130,136
1,1,18,0,2,1,3,0.16,0.93,3,1,4,1,94,95
1,1,19,0,2,1,3,0.16,0.93,4,1,4,0,51,51
1,1,20,0,2,1,3,0.16,0.93,4,1,4,0,32,32
1,1,21,0,2,1,3,0.16,0.86,4,1,4,0,20,20
1,1,22,0,2,1,3,0.16,0.93,4,1,4,1,28,29
1,1,23,0,2,1,3,0.16,0.93,4,1,4,1,18,19
1,1,0,0,3,1,2,0.16,0.86,1,1,4,0,7,7
1,1,1,0,3,1,2,0.16,0.86,1,1,4,0,6,6
1,1,2,0,3,1,1,0.14,0.86,1,1,4,0,1,1
1,1,5,0,3,1,1,0.14,0.86,1,1,4,0,5,5
1,1,6,0,3,1,1,0.12,0.93,1,1,4,0,16,16
1,1,7,0,3,1,1,0.14,0.69,2,1,3,0,54,54
1,1,8,0,3,1,1,0.16,0.59,2,1,2,3,125,128
1,1,9,0,3,1,1,0.16,0.59,2,1,2,3,78,81
1,1,10,0,3,1,1,0.18,0.55,2,1,2,0,39,39
1,1,11,0,3,1,1,0.2,0.51,2,1,2,3,32,35
1,1,12,0,3,1,1,0.2,0.47,2,1,1,3,52,55
1,1,13,0,3,1,1,0.22,0.44,3,1,1,0,49,49
1,1,14,0,3,1,1,0.2,0.47,3,1,1,0,44,44
1,1,15,0,3,1,1,0.2,0.47,3,1,1,1,48,49
1,1,16,0,3,1,1,0.22,0.44,3,1,1,5,63,68
1,1,17,0,3,1,1,0.2,0.47,3,1,1,0,139,139
1,1,18,0,3,1,1,0.2,0.47,3,1,1,2,135,137
1,1,19,0,3,1,1,0.18,0.47,4,1,1,1,82,83
1,1,20,0,3,1,1,0.16,0.5,4,1,2,2,54,56
1,1,21,0,3,1,1,0.16,0.55,4,1,2,0,57,57
1,1,22,0,3,1,1,0.16,0.55,4,1,2,1,32,33
1,1,23,0,3,1,1,0.14,0.59,4,1,2,1,19,20
1,1,0,0,4,1,1,0.14,0.59,1,1,2,1,6,7
1,1,1,0,4,1,1,0.14,0.5,1,1,2,0,2,2
1,1,2,0,4,1,1,0.14,0.5,1,1,2,0,2,2
1,1,3,0,4,1,1,0.14,0.5,1,1,2,0,3,3
1,1,4,0,4,1,1,0.14,0.5,1,1,2,0,4,4
1,1,5,0,4,1,1,0.14,0.5,1,1,2,0,3,3
1,1,6,0,4,1,1,0.12,0.54,1,1,2,0,28,28
1,1,7,0,4,1,1,0.12,0.54,2,1,2,0,72,72
1,1,8,0,4,1,1,0.14,0.5,2,1,2,5,197,202
1,1,9,0,4,1,1,0.14,0.5,2,1,2,2,137,139
1,1,10,0,4,1,2,0.16,0.5,2,1,2,2,36,38
1,1,11,0,4,1,2,0.2,0.44,2,1,1,4,33,37
1,1,12,0,4,1,1,0.2,0.44,2,1,1,3,49,52
1,1,13,0,4,1,1,0.22,0.41,3,1,1,2,81,83
1,1,14,0,4,1,1,0.22,0.41,3,1,1,3,39,42
1,1,15,0,4,1,1,0.24,0.38,3,1,1,5,55,60
1,1,16,0,4,1,1,0.24,0.38,3,1,1,2,76,78
1,1,17,0,4,1,1,0.2,0.4,3,1,1,4,158,162
1,1,18,0,4,1,1,0.2,0.4,3,1,1,3,141,144
1,1,19,0,4,1,1,0.16,0.47,4,1,1,1,98,99
1,1,20,0,4,1,1,0.16,0.47,4,1,1,0,64,64
1,1,21,0,4,1,1,0.14,0.46,4,1,1,0,40,40
1,1,22,0,4,1,1,0.14,0.46,4,1,1,0,30,30
1,1,23,0,4,1,1,0.12,0.5,4,1,2,1,14,15
1,1,0,0,5,1,1,0.12,0.5,1,1,2,0,14,14
1,1,1,0,5,1,1,0.1,0.54,1,1,2,0,5,5
1,1,2,0,5,1,1,0.1,0.54,1,1,2,0,1,1
1,1,3,0,5,1,1,0.1,0.54,1,1,2,0,1,1
1,1,5,0,5,1,1,0.1,0.54,1,1,2,0,8,8
1,1,6,0,5,1,1,0.1,0.54,1,1,2,0,17,17
1,1,7,0,5,1,1,0.1,0.74,2,1,3,0,70,70
1,1,8,0,5,1,1,0.12,0.68,2,1,3,2,156,158
1,1,9,0,5,1,1,0.14,0.69,2,1,3,0,117,117
1,1,10,0,5,1,1,0.18,0.55,2,1,2,4,40,44
1,1,11,0,5,1,1,0.18,0.51,2,1,2,6,47,53
1,1,12,0,5,1,1,0.2,0.44,2,1,1,2,59,61
1,1,13,0,5,1,1,0.22,0.37,3,1,1,4,73,77
1,1,14,0,5,1,1,0.22,0.41,3,1,1,5,59,64
1,1,15,0,5,1,1,0.24,0.38,3,1,1,9,59,68
1,1,16,0,5,1,1,0.22,0.41,3,1,1,3,87,90
1,1,17,0,5,1,1,0.22,0.41,3,1,1,4,155,159
1,1,18,0,5,1,1,0.2,0.47,3,1,1,5,134,139
1,1,19,0,5,1,1,0.16,0.59,4,1,2,3,89,92
1,1,20,0,5,1,1,0.18,0.59,4,1,2,0,68,68
1,1,21,0,5,1,1,0.16,0.69,4,1,3,4,48,52
1,1,22,0,5,1,2,0.16,0.69,4,1,3,2,34,36
1,1,23,0,5,1,2,0.18,0.55,4,1,2,1,26,27
1,1,0,0,6,0,1,0.18,0.55,1,1,2,3,25,28
1,1,1,0,6,0,2,0.16,0.59,1,1,2,2,18,20
1,1,2,0,6,0,2,0.16,0.59,1,1,2,0,12,12
1,1,3,0,6,0,2,0.16,0.59,1,1,2,1,7,8
1,1,4,0,6,0,2,0.16,0.59,1,1,2,0,5,5
1,1,5,0,6,0,1,0.16,0.59,1,1,2,0,1,1
1,1,6,0,6,0,1,0.14,0.63,1,1,2,1,2,3
1,1,7,0,6,0,1,0.14,0.63,2,1,2,1,9,10
1,1,8,0,6,0,1,0.14,0.63,2,1,2,1,22,23
1,1,9,0,6,0,1,0.16,0.64,2,1,3,2,31,33
1,1,10,0,6,0,1,0.18,0.59,2,1,2,2,57,59
1,1,11,0,6,0,1,0.2,0.55,2,1,2,18,54,72
1,1,12,0,6,0,1,0.24,0.48,2,1,1,15,74,89
1,1,13,0,6,0,1,0.28,0.38,3,1,1,21,80,101
1,1,14,0,6,0,1,0.3,0.39,3,1,1,26,92,118
1,1,15,0,6,0,2,0.32,0.36,3,1,1,21,108,129
1,1,16,0,6,0,2,0.34,0.34,3,1,1,33,95,128
1,1,17,0,6,0,2,0.32,0.36,3,1,1,29,54,83
1,1,18,0,6,0,2,0.3,0.45,3,1,1,15,69,84
1,1,19,0,6,0,2,0.32,0.39,4,1,1,14,60,74
1,1,20,0,6,0,2,0.32,0.39,4,1,1,6,35,41
1,1,21,0,6,0,2,0.32,0.39,4,1,1,6,51,57
1,1,22,0,6,0,2,0.3,0.42,4,1,1,0,26,26
1,1,23,0,6,0,1,0.3,0.45,4,1,1,5,39,44
1,1,0,0,0,0,1,0.26,0.56,1,1,2,6,33,39
1,1,1,0,0,0,1,0.26,0.56,1,1,2,4,19,23
1,1,2,0,0,0,1,0.26,0.56,1,1,2,3,13,16
1,1,3,0,0,0,1,0.22,0.69,1,1,3,9,6,15
1,1,4,0,0,0,1,0.26,0.56,1,1,2,0,1,1
1,1,5,0,0,0,2,0.26,0.56,1,1,2,1,1,2
1,1,6,0,0,0,2,0.26,0.56,1,1,2,0,1,1
1,1,7,0,0,0,2,0.24,0.56,2,1,2,0,3,3
1,1,8,0,0,0,1,0.22,0.55,2,1,2,0,18,18
1,1,9,0,0,0,1,0.22,0.51,2,1,2,3,29,32
1,1,10,0,0,0,1,0.22,0.51,2,1,2,8,71,79
1,1,11,0,0,0,1,0.24,0.44,2,1,1,23,70,93
1,1,12,0,0,0,1,0.24,0.41,2,1,1,29,75,104
1,1,13,0,0,0,1,0.26,0.35,3,1,1,23,95,118
1,1,14,0,0,0,1,0.28,0.36,3,1,1,22,69,91
1,1,15,0,0,0,1,0.26,0.38,3,1,1,35,78,113
1,1,16,0,0,0,1,0.24,0.38,3,1,1,22,77,99
1,1,17,0,0,0,1,0.22,0.37,3,1,1,23,82,105
1,1,18,0,0,0,1,0.2,0.4,3,1,1,11,56,67
1,1,19,0,0,0,1,0.18,0.47,4,1,1,14,47,61
1,1,20,0,0,0,1,0.18,0.47,4,1,1,7,50,57
1,1,21,0,0,0,1,0.18,0.51,4,1,2,6,22,28
1,1,22,0,0,0,2,0.2,0.49,4,1,2,2,19,21
1,1,23,0,0,0,2,0.2,0.4,4,1,1,0,18,18
1,1,0,1,1,0,2,0.2,0.47,1,1,1,1,16,17
1,1,1,1,1,0,2,0.2,0.44,1,1,1,1,15,16
1,1,2,1,1,0,2,0.18,0.43,1,1,1,0,8,8
1,1,3,1,1,0,2,0.18,0.43,1,1,1,0,2,2
1,1,4,1,1,0,2,0.18,0.43,1,1,1,1,2,3
1,1,5,1,1,0,2,0.18,0.43,1,1,1,0,1,1
1,1,6,1,1,0,2,0.18,0.43,1,1,1,0,5,5
1,1,7,1,1,0,2,0.16,0.5,2,1,2,4,9,13
1,1,8,1,1,0,2,0.16,0.47,2,1,1,3,30,33
1,1,9,1,1,0,2,0.16,0.47,2,1,1,8,39,47
1,1,10,1,1,0,2,0.16,0.5,2,1,2,7,50,57
1,1,11,1,1,0,2,0.16,0.55,2,1,2,9,55,64
1,1,12,1,1,0,2,0.18,0.47,2,1,1,10,70,80
1,1,13,1,1,0,2,0.18,0.47,3,1,1,13,80,93
1,1,14,1,1,0,2,0.18,0.43,3,1,1,12,74,86
1,1,15,1,1,0,2,0.2,0.47,3,1,1,21,72,93
1,1,16,1,1,0,2,0.2,0.47,3,1,1,6,76,82
1,1,17,1,1,0,1,0.2,0.51,3,1,2,4,67,71
1,1,18,1,1,0,2,0.18,0.55,3,1,2,7,85,92
1,1,19,1,1,0,3,0.18,0.59,4,1,2,2,58,60
1,1,20,1,1,0,3,0.16,0.8,4,1,4,4,29,33
1,1,21,1,1,0,3,0.16,0.8,4,1,4,3,24,27
1,1,22,1,1,0,3,0.14,0.93,4,1,4,0,13,13
1,1,23,1,1,0,3,0.16,0.86,4,1,4,1,3,4
1,1,12,0,2,1,2,0.2,0.86,2,1,4,0,3,3
1,1,13,0,2,1,2,0.2,0.86,3,1,4,0,22,22
1,1,14,0,2,1,2,0.22,0.8,3,1,4,2,26,28
1,1,15,0,2,1,2,0.22,0.87,3,1,4,3,32,35
1,1,16,0,2,1,2,0.22,0.87,3,1,4,0,61,61
1,1,17,0,2,1,2,0.22,0.82,3,1,4,1,124,125
1,1,18,0,2,1,2,0.22,0.8,3,1,4,1,132,133
1,1,19,0,2,1,2,0.22,0.8,4,1,4,1,98,99
1,1,20,0,2,1,2,0.22,0.87,4,1,4,0,83,83
1,1,21,0,2,1,2,0.22,0.93,4,1,4,0,41,41
1,1,22,0,2,1,2,0.22,0.93,4,1,4,0,33,33
1,1,23,0,2,1,2,0.22,0.93,4,1,4,1,19,20
